filename,width,height,depth,name,xmin,ymin,xmax,ymax
59_peopledrivingcar_peopledrivingcar_59_268.jpg,1024,700,3,face,476,22,770,330
39_Ice_Skating_iceskiing_39_1038.jpg,1024,1231,3,face,84,250,582,916
27_Spa_Spa_27_385.jpg,1024,690,3,face,935,276,955,300
27_Spa_Spa_27_385.jpg,1024,690,3,face,793,332,808,354
41_Swimming_Swimmer_41_831.jpg,1024,1536,3,face,458,132,635,360
32_Worker_Laborer_Worker_Laborer_32_347.jpg,1024,684,3,face,310,90,460,288
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,110,100,182,192
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,238,44,306,136
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,396,58,468,156
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,534,68,596,152
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,704,84,766,160
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,832,84,902,154
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,638,282,710,382
30_Surgeons_Surgeons_30_855.jpg,1024,706,3,face,370,274,448,388
13_Interview_Interview_On_Location_13_684.jpg,1024,682,3,face,385,95,446,165
13_Interview_Interview_On_Location_13_684.jpg,1024,682,3,face,395,157,472,254
13_Interview_Interview_On_Location_13_684.jpg,1024,682,3,face,581,177,643,267
13_Interview_Interview_On_Location_13_684.jpg,1024,682,3,face,643,131,702,258
41_Swimming_Swimming_41_709.jpg,1024,628,3,face,434,202,441,217
41_Swimming_Swimming_41_709.jpg,1024,628,3,face,445,276,457,289
41_Swimming_Swimming_41_709.jpg,1024,628,3,face,616,330,647,364
test_00002171.jpg,850,621,3,face,456,247,612,425
test_00002171.jpg,850,621,3,face,182,241,339,420
41_Swimming_Swimmer_41_402.jpg,1024,683,3,face,386,88,682,460
test_00004704.jpg,670,437,3,face_mask,270,170,458,417
32_Worker_Laborer_Worker_Laborer_32_80.jpg,1024,677,3,face,394,67,443,117
32_Worker_Laborer_Worker_Laborer_32_80.jpg,1024,677,3,face,669,161,716,216
13_Interview_Interview_On_Location_13_852.jpg,1024,768,3,face,268,208,498,490
test_00003652.jpg,560,560,3,face,134,63,409,419
test_00002638.jpg,530,331,3,face,192,94,242,164
test_00002638.jpg,530,331,3,face,274,94,325,161
